file,rows,matched_gold_rows
b_a0cc574c_20260807T152148Z.jsonl,16,16
deepseek_r1__3aef4d_d_42_t.jsonl,5,5
deepseek_r1__3aef4d_d_43_t.jsonl,1,1
deepseek_r1__3aef4d_d_44_t.jsonl,10,10
deepseek_r1__3aef4d_s_44_t.jsonl,10,10
gemma3_27b_1eb26b_d_42_t.jsonl,5,5
gemma3_27b_1eb26b_d_44_t.jsonl,10,10
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,150,150
gemma3_27b_1eb26b_s_44_t.jsonl,10,10
gemma3_27b_1eb26b_s_55_t_cross150.jsonl,150,150
llama3_2_3b_925b2c_d_42_t.jsonl,5,5
llama3_2_3b_925b2c_d_43_t.jsonl,1,1
llama3_2_3b_925b2c_d_44_t.jsonl,10,10
llama3_2_3b_925b2c_d_55_t_cross150.jsonl,150,150
llama3_2_3b_925b2c_s_44_t.jsonl,10,10
llama3_2_3b_925b2c_s_55_t_cross150.jsonl,150,150
mistral_smal_d50e0c_d_42_t.jsonl,5,5
mistral_smal_d50e0c_d_44_t.jsonl,10,10
mistral_smal_d50e0c_d_55_t_cross150.jsonl,150,150
mistral_smal_d50e0c_s_44_t.jsonl,10,10
mistral_smal_d50e0c_s_55_t_cross150.jsonl,150,150
phi3_5_lates_295b29_d_42_t.jsonl,5,5
phi3_5_lates_295b29_d_43_t.jsonl,1,1
phi3_5_lates_295b29_d_44_t.jsonl,10,10
phi3_5_lates_295b29_s_44_t.jsonl,10,10
qwen3_14b_613573_d_101_t_repeat150.jsonl,150,150
qwen3_14b_613573_d_202_t_repeat150.jsonl,150,150
qwen3_14b_613573_d_303_t_repeat150.jsonl,150,150
qwen3_14b_613573_d_44_t.jsonl,10,10
qwen3_14b_613573_d_55_t_cross150.jsonl,150,150
qwen3_14b_613573_d_55_t_full751.jsonl,751,751
qwen3_14b_613573_r_55_t_rich150.jsonl,12,12
qwen3_14b_613573_s_101_t_repeat150.jsonl,150,150
qwen3_14b_613573_s_202_t_repeat150.jsonl,150,150
qwen3_14b_613573_s_303_t_repeat150.jsonl,150,150
qwen3_14b_613573_s_44_t.jsonl,10,10
qwen3_14b_613573_s_55_t_cross150.jsonl,150,150
qwen3_14b_613573_s_55_t_full751.jsonl,751,751
qwen3_4b_c351ea_d_42_t.jsonl,5,5
qwen3_4b_c351ea_d_43_t.jsonl,1,1
retry_b_1cee7b9d_20260808T084054Z.jsonl,150,150
retry_b_1cee7b9d_20260808T084225Z.jsonl,150,150
