pool,record_id,gold_family,pool_size,any_gold,gold_recall,distinct_gold_recovered,rrf_hit1,rrf_hit5
direct-only,nvbench2:test:7,bar,15,1.0,0.2,1,0.0,0.0
direct-only,nvbench2:test:11,point,15,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:18,rect,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:20,arc,10,1.0,1.0,2,0.0,0.0
direct-only,nvbench2:test:25,boxplot,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:26,boxplot,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:31,rect,12,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:35,bar+line,15,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:37,arc,14,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:39,bar,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:62,arc,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:70,bar,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:79,boxplot,20,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:90,arc,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:97,line,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:99,boxplot,5,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:102,boxplot,5,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:105,arc,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:111,rect,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:112,arc,5,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:113,line,14,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:117,bar,3,1.0,0.2,1,0.0,1.0
direct-only,nvbench2:test:127,arc,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:131,arc,7,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:132,bar,1,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:133,bar,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:142,rect,11,1.0,1.0,2,0.0,1.0
direct-only,nvbench2:test:144,bar,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:150,bar,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:157,line,7,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:160,arc,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:162,rect,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:163,line,1,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:168,bar,4,1.0,0.2,1,0.0,1.0
