record_id,model,contrast,chart_family,hardness,baseline_difference,baseline_core_equal_gold,baseline_top1,comparator_top1,gold
nvbench-v1-strict:1021,qwen3:14b,staged-rich minus direct-rich,Pie,Easy,multiple_components,False,"{""encoding"": {""color"": {""field"": ""outcome_code"", ""type"": ""nominal""}, ""detail"": {""aggregate"": ""count"", ""field"": ""mailshot_id""}, ""theta"": {""field"": ""outcome_code"", ""type"": ""nominal""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""outcome_code""}, ""theta"": {""aggregate"": ""count""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""outcome_code""}, ""theta"": {""aggregate"": ""count""}}, ""mark"": ""arc""}"
nvbench-v1-strict:1236,qwen3:14b,staged-rich minus direct-rich,Pie,Easy,multiple_components,False,"{""encoding"": {""color"": {""field"": ""Sex"", ""type"": ""nominal""}, ""detail"": {""aggregate"": ""mean"", ""field"": ""Age""}, ""theta"": {""field"": ""Sex"", ""type"": ""nominal""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""Sex""}, ""theta"": {""aggregate"": ""mean"", ""field"": ""Age""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""Sex""}, ""theta"": {""aggregate"": ""mean"", ""field"": ""Age""}}, ""mark"": ""arc""}"
nvbench-v1-strict:1484,qwen3:14b,staged-rich minus direct-rich,Grouping Line,Hard,field_or_channel_mapping,False,"{""encoding"": {""color"": {""field"": ""Away_team"", ""type"": ""nominal""}, ""x"": {""field"": ""Season"", ""type"": ""ordinal""}, ""y"": {""aggregate"": ""count"", ""field"": ""id""}}, ""mark"": ""line""}","{""encoding"": {""color"": {""field"": ""Away_team""}, ""x"": {""field"": ""Season""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""line""}","{""encoding"": {""color"": {""field"": ""Away_team""}, ""x"": {""field"": ""Season""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""line""}"
nvbench-v1-strict:171,qwen3:14b,staged-rich minus direct-rich,Line,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""year"", ""type"": ""ordinal""}, ""y"": {""aggregate"": ""mean"", ""field"": ""attendance""}}, ""mark"": ""line""}","{""encoding"": {""x"": {""field"": ""year""}, ""y"": {""aggregate"": ""mean"", ""field"": ""attendance""}}, ""mark"": ""line""}","{""encoding"": {""x"": {""field"": ""year""}, ""y"": {""aggregate"": ""mean"", ""field"": ""attendance""}}, ""mark"": ""line""}"
nvbench-v1-strict:2264,qwen3:14b,staged-rich minus direct-rich,Grouping Scatter,Medium,other_representation_difference,False,"{""encoding"": {""color"": {""field"": ""Headquarter"", ""type"": ""nominal""}, ""x"": {""field"": ""Code"", ""type"": ""quantitative""}, ""y"": {""field"": ""Price"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Headquarter""}, ""x"": {""field"": ""Code""}, ""y"": {""field"": ""Price""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Headquarter""}, ""x"": {""field"": ""Code""}, ""y"": {""field"": ""Price""}}, ""mark"": ""point""}"
nvbench-v1-strict:2266,qwen3:14b,staged-rich minus direct-rich,Scatter,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Code"", ""type"": ""quantitative""}, ""y"": {""field"": ""Manufacturer"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Code""}, ""y"": {""field"": ""Manufacturer""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Code""}, ""y"": {""field"": ""Manufacturer""}}, ""mark"": ""point""}"
nvbench-v1-strict:2275,qwen3:14b,staged-rich minus direct-rich,Grouping Scatter,Medium,other_representation_difference,False,"{""encoding"": {""color"": {""field"": ""Name"", ""type"": ""nominal""}, ""x"": {""field"": ""Code"", ""type"": ""quantitative""}, ""y"": {""field"": ""Manufacturer"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Name""}, ""x"": {""field"": ""Code""}, ""y"": {""field"": ""Manufacturer""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Name""}, ""x"": {""field"": ""Code""}, ""y"": {""field"": ""Manufacturer""}}, ""mark"": ""point""}"
nvbench-v1-strict:2874,qwen3:14b,staged-rich minus direct-rich,Scatter,Easy,field_or_channel_mapping,False,"{""encoding"": {""color"": {""field"": ""Grade"", ""type"": ""nominal""}, ""x"": {""field"": ""Grade"", ""type"": ""quantitative""}, ""y"": {""aggregate"": ""count"", ""field"": ""Grade"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Grade""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Grade""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""point""}"
nvbench-v1-strict:2991,qwen3:14b,staged-rich minus direct-rich,Scatter,Medium,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""lot_id"", ""type"": ""quantitative""}, ""y"": {""aggregate"": ""mean"", ""field"": ""amount_of_transaction"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""lot_id""}, ""y"": {""aggregate"": ""mean"", ""field"": ""amount_of_transaction""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""lot_id""}, ""y"": {""aggregate"": ""mean"", ""field"": ""amount_of_transaction""}}, ""mark"": ""point""}"
nvbench-v1-strict:3240,qwen3:14b,staged-rich minus direct-rich,Line,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Year"", ""type"": ""ordinal""}, ""y"": {""aggregate"": ""mean"", ""field"": ""Price""}}, ""mark"": ""line""}","{""encoding"": {""x"": {""field"": ""Year""}, ""y"": {""aggregate"": ""mean"", ""field"": ""Price""}}, ""mark"": ""line""}","{""encoding"": {""x"": {""field"": ""Year""}, ""y"": {""aggregate"": ""mean"", ""field"": ""Price""}}, ""mark"": ""line""}"
