record_id,index,model,condition,seed,temperature,parse_success,candidate_count,valid_candidate_count,any_candidate,any_valid_candidate,all_candidates_valid,elapsed_seconds,gold_count_raw,gold_count_canonical,ambiguity_group,gold_family,raw_mrr,raw_hit@1,raw_recall@1,raw_precision@1,raw_f1@1,raw_hit@3,raw_recall@3,raw_precision@3,raw_f1@3,raw_hit@5,raw_recall@5,raw_precision@5,raw_f1@5,valid_mrr,valid_hit@1,valid_recall@1,valid_precision@1,valid_f1@1,valid_hit@3,valid_recall@3,valid_precision@3,valid_f1@3,valid_hit@5,valid_recall@5,valid_precision@5,valid_f1@5,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,best5_mark,best5_channels,best5_fields,best5_operations,best5_filters,best5_macro,graded_ndcg@5
nvbench2:test:7,7,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,18.54283559997566,5,5,multi_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,0.0,1.0,0.8,0.7411011265922482
nvbench2:test:11,11,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,4.751122699934058,5,5,multi_gold,point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.5599999999999999,1.0,0.8,0.0,0.0,1.0,0.5599999999999999,0.3496433158355864
nvbench2:test:18,18,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,3.6043229999486357,4,4,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.7333333333333333,1.0,1.0,0.6666666666666666,1.0,0.0,0.7333333333333333,0.3962875127545891
nvbench2:test:20,20,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,3.1575567999389023,2,2,multi_gold,arc,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,0.4,1.0,1.0,0.4,0.5714285714285715,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,0.4,1.0,1.0,0.4,0.5714285714285715,1.0,1.0,0.5,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.6221482657636115
nvbench2:test:25,25,qwen3:14b,direct,55,0.0,1.0,5,0,1.0,0.0,0.0,4.1181785999797285,2,2,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.7,1.0,1.0,0.5,0.0,1.0,0.7,1.0744725684840684
nvbench2:test:26,26,qwen3:14b,direct,55,0.0,1.0,5,0,1.0,0.0,0.0,4.1579561999533325,4,4,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.4,0.2802404398338258
nvbench2:test:31,31,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,5.357939200010151,2,2,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.6530621135384393
nvbench2:test:35,35,qwen3:14b,direct,55,0.0,1.0,5,4,1.0,1.0,0.0,4.274832800030708,4,4,multi_gold,bar+line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,1.0,1.0,0.8400000000000001,1.0,0.8,0.8,1.0,1.0,0.9199999999999999,0.9114508603100027
nvbench2:test:37,37,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,3.3567302000010386,2,2,multi_gold,arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6,1.0,1.0,1.0,0.0,0.0,0.6,0.8351441736778339
nvbench2:test:39,39,qwen3:14b,direct,55,0.0,1.0,4,0,1.0,0.0,0.0,5.680387500091456,2,2,multi_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.4,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.4,0.4678297054775762
