record_id,gold_family,variant,top1_agreement,candidate_jaccard,baseline_hit1,variant_hit1,delta_hit1,baseline_hit5,variant_hit5,delta_hit5,baseline_top1_conformity,variant_top1_conformity,delta_top1_conformity,baseline_component_overlap,variant_component_overlap,delta_component_overlap,variant_parse_success
nvbench2:dev:103,boxplot,prompt_paraphrase,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
nvbench2:dev:105,arc,prompt_paraphrase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
nvbench2:dev:108,boxplot,prompt_paraphrase,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,1.0
nvbench2:dev:112,boxplot,prompt_paraphrase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0
nvbench2:dev:114,line,prompt_paraphrase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.44000000000000006,0.44000000000000006,0.0,1.0
nvbench2:dev:116,arc,prompt_paraphrase,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,1.0
nvbench2:dev:118,rect,prompt_paraphrase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8666666666666668,0.9333333333333332,0.06666666666666643,1.0
nvbench2:dev:127,arc,prompt_paraphrase,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,1.0
nvbench2:dev:136,boxplot,prompt_paraphrase,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
nvbench2:dev:138,bar,prompt_paraphrase,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8,0.8,0.0,1.0
nvbench2:dev:139,line,prompt_paraphrase,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7,0.7,0.0,1.0
nvbench2:dev:143,rect,prompt_paraphrase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666667,0.9333333333333332,0.2666666666666665,1.0
nvbench2:dev:144,bar,prompt_paraphrase,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9199999999999999,0.9199999999999999,0.0,1.0
nvbench2:dev:149,point,prompt_paraphrase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.8666666666666666,-0.13333333333333341,1.0
nvbench2:dev:157,point,prompt_paraphrase,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.36,0.36,0.0,1.0
nvbench2:dev:158,point,prompt_paraphrase,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.44000000000000006,0.48571428571428577,0.04571428571428571,1.0
nvbench2:dev:165,line,prompt_paraphrase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7333333333333333,0.7999999999999999,0.06666666666666665,1.0
nvbench2:dev:167,bar,prompt_paraphrase,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9333333333333332,0.9333333333333332,0.0,1.0
