record_id,index,model,condition,seed,temperature,parse_success,candidate_count,valid_candidate_count,any_candidate,any_valid_candidate,all_candidates_valid,elapsed_seconds,gold_count_raw,gold_count_canonical,ambiguity_group,gold_family,raw_mrr,raw_hit@1,raw_recall@1,raw_precision@1,raw_f1@1,raw_hit@3,raw_recall@3,raw_precision@3,raw_f1@3,raw_hit@5,raw_recall@5,raw_precision@5,raw_f1@5,valid_mrr,valid_hit@1,valid_recall@1,valid_precision@1,valid_f1@1,valid_hit@3,valid_recall@3,valid_precision@3,valid_f1@3,valid_hit@5,valid_recall@5,valid_precision@5,valid_f1@5,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,best5_mark,best5_channels,best5_fields,best5_operations,best5_filters,best5_macro,graded_ndcg@5
nvbench2:test:0,0,qwen3:14b,direct,55,0.0,1.0,5,2,1.0,1.0,0.0,18.084499700111337,4,4,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8,1.0,1.0,0.0,1.0,1.0,0.8,0.7370982768641916
nvbench2:test:1,1,qwen3:14b,direct,55,0.0,1.0,5,0,1.0,0.0,0.0,9.857392500038259,5,5,multi_gold,point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.0,0.0,0.0,0.37142857142857144,1.0,0.8571428571428571,0.28571428571428575,0.0,0.0,0.42857142857142855,0.31698887105580376
nvbench2:test:2,2,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,4.275040999986231,3,3,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3322654687562048
nvbench2:test:3,3,qwen3:14b,direct,55,0.0,1.0,1,0,1.0,0.0,0.0,0.9052580000134185,4,4,multi_gold,arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.9,1.0,1.0,0.5,1.0,1.0,0.9,0.3380948817687364
nvbench2:test:4,4,qwen3:14b,direct,55,0.0,1.0,1,0,1.0,0.0,0.0,1.0967383000534028,3,3,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.7,1.0,1.0,0.5,0.0,1.0,0.7,0.29306681351921393
nvbench2:test:5,5,qwen3:14b,direct,55,0.0,1.0,5,3,1.0,1.0,0.0,3.7701697000302374,4,4,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.6,1.0,1.0,1.0,0.0,1.0,0.8,0.6899682162539365
nvbench2:test:6,6,qwen3:14b,direct,55,0.0,1.0,5,0,1.0,0.0,0.0,3.9936648999573663,2,2,multi_gold,point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.4,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.4,0.5064310396082777
nvbench2:test:7,7,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,4.528397899935953,5,5,multi_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,0.0,1.0,0.8,0.7411011265922482
nvbench2:test:8,8,qwen3:14b,direct,55,0.0,1.0,5,1,1.0,1.0,0.0,4.4485237000044435,2,2,multi_gold,arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,1.0,0.0,0.6666666666666666,1.0,0.7333333333333333,0.967143697212793
nvbench2:test:9,9,qwen3:14b,direct,55,0.0,1.0,5,2,1.0,1.0,0.0,4.396402499987744,5,5,multi_gold,point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.36,0.0,0.8,0.4,0.0,1.0,0.44000000000000006,0.29908507643308324
nvbench2:test:10,10,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,3.3987226999597624,3,3,multi_gold,arc,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6,0.7499999999999999,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3169246505958503
nvbench2:test:11,11,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,5.107013200060464,5,5,multi_gold,point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.5599999999999999,1.0,0.8,0.0,0.0,1.0,0.5599999999999999,0.3496433158355864
nvbench2:test:12,12,qwen3:14b,direct,55,0.0,1.0,3,3,1.0,1.0,1.0,2.8028749999357387,3,3,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nvbench2:test:13,13,qwen3:14b,direct,55,0.0,1.0,5,1,1.0,1.0,0.0,6.6427615999709815,4,4,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.5,0.0,0.5666666666666667,1.0,1.0,0.6666666666666666,0.5,0.0,0.6333333333333333,0.5814760659979181
nvbench2:test:14,14,qwen3:14b,direct,55,0.0,1.0,5,1,1.0,1.0,0.0,3.4186969000147656,2,2,multi_gold,arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.7,1.0,1.0,0.5,1.0,0.0,0.7,0.449156064570723
nvbench2:test:15,15,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,5.53851800004486,4,4,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0626168598260077
nvbench2:test:16,16,qwen3:14b,direct,55,0.0,1.0,5,0,1.0,0.0,0.0,3.5810588999884203,2,2,multi_gold,line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,1.0,1.0,0.8400000000000001,1.0,0.8,0.4,1.0,1.0,0.8400000000000001,1.4282837994868038
nvbench2:test:17,17,qwen3:14b,direct,55,0.0,1.0,4,4,1.0,1.0,1.0,3.270775999990292,4,4,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8,1.0,1.0,0.0,1.0,1.0,0.8,0.7411011265922481
nvbench2:test:18,18,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,4.032350399997085,4,4,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.7333333333333333,1.0,1.0,0.6666666666666666,1.0,0.0,0.7333333333333333,0.3962875127545891
nvbench2:test:19,19,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,5.160171600058675,2,2,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.7333333333333333,1.0,1.0,0.6666666666666666,0.0,1.0,0.7333333333333333,1.1507994291226582
nvbench2:test:20,20,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,3.183151900069788,2,2,multi_gold,arc,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,0.4,1.0,1.0,0.4,0.5714285714285715,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,0.4,1.0,1.0,0.4,0.5714285714285715,1.0,1.0,0.5,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.6221482657636115
nvbench2:test:21,21,qwen3:14b,direct,55,0.0,1.0,5,1,1.0,1.0,0.0,3.643658500048332,4,4,multi_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,1.0,1.0,0.8400000000000001,1.0,0.8,0.8,1.0,1.0,0.9199999999999999,0.9247770528881304
nvbench2:test:22,22,qwen3:14b,direct,55,0.0,1.0,5,2,1.0,1.0,0.0,4.441929499967955,4,4,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.8401626729429649
nvbench2:test:23,23,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,6.751937199966051,4,4,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.0,0.7333333333333333,0.6907639750221687
nvbench2:test:24,24,qwen3:14b,direct,55,0.0,1.0,5,2,1.0,1.0,0.0,4.454499299987219,3,3,multi_gold,arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.5,0.19438161285179364
nvbench2:test:25,25,qwen3:14b,direct,55,0.0,1.0,5,0,1.0,0.0,0.0,4.320876999991015,2,2,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.7,1.0,1.0,0.5,0.0,1.0,0.7,1.0744725684840684
nvbench2:test:26,26,qwen3:14b,direct,55,0.0,1.0,5,0,1.0,0.0,0.0,4.723397900001146,4,4,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.4,0.2802404398338258
nvbench2:test:27,27,qwen3:14b,direct,55,0.0,1.0,5,1,1.0,1.0,0.0,3.4272031999425963,5,5,multi_gold,arc,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.20000000000000004,1.0,1.0,0.2,1.0,0.33333333333333337,1.0,0.2,1.0,0.33333333333333337,1.0,0.2,1.0,0.33333333333333337,1.0,1.0,0.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.7962615265336744
nvbench2:test:28,28,qwen3:14b,direct,55,0.0,1.0,5,0,1.0,0.0,0.0,5.338433500030078,2,2,multi_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,1.0,1.0,0.8400000000000001,1.0,0.8,0.4,1.0,1.0,0.8400000000000001,1.1404199637352785
nvbench2:test:29,29,qwen3:14b,direct,55,0.0,1.0,1,1,1.0,1.0,1.0,1.5215222999686375,4,4,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.7333333333333333,1.0,1.0,0.6666666666666666,0.0,1.0,0.7333333333333333,0.25861733291100014
nvbench2:test:30,30,qwen3:14b,direct,55,0.0,1.0,1,0,1.0,0.0,0.0,1.067936300067231,2,2,multi_gold,arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.9,1.0,1.0,0.5,1.0,1.0,0.9,0.5310259262712439
nvbench2:test:31,31,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,5.9460093000670895,2,2,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.6530621135384393
nvbench2:test:32,32,qwen3:14b,direct,55,0.0,1.0,3,3,1.0,1.0,1.0,4.022362900082953,4,4,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.4,0.2657898329155155
nvbench2:test:33,33,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,5.98711159999948,4,4,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.5333333333333333,1.0,1.0,0.6666666666666666,0.0,0.0,0.5333333333333333,0.44115560849847035
nvbench2:test:34,34,qwen3:14b,direct,55,0.0,1.0,4,4,1.0,1.0,1.0,3.492508399998769,4,4,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nvbench2:test:35,35,qwen3:14b,direct,55,0.0,1.0,5,4,1.0,1.0,0.0,4.650998300057836,4,4,multi_gold,bar+line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,1.0,1.0,0.8400000000000001,1.0,0.8,0.8,1.0,1.0,0.9199999999999999,0.9114508603100027
nvbench2:test:36,36,qwen3:14b,direct,55,0.0,1.0,4,4,1.0,1.0,1.0,3.5008895999053493,4,4,multi_gold,boxplot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nvbench2:test:37,37,qwen3:14b,direct,55,0.0,1.0,5,5,1.0,1.0,1.0,3.6077905000420287,2,2,multi_gold,arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6,1.0,1.0,1.0,0.0,0.0,0.6,0.8351441736778339
nvbench2:test:38,38,qwen3:14b,direct,55,0.0,1.0,1,1,1.0,1.0,1.0,1.709619399975054,4,4,multi_gold,rect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.4666666666666667,1.0,1.0,0.3333333333333333,0.0,0.0,0.4666666666666667,0.14909116917444792
nvbench2:test:39,39,qwen3:14b,direct,55,0.0,1.0,4,0,1.0,0.0,0.0,6.172275800025091,2,2,multi_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.4,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.4,0.4678297054775762
nvbench2:test:40,40,qwen3:14b,direct,55,0.0,1.0,5,0,1.0,0.0,0.0,6.124689899967052,2,2,multi_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,1.0,0.0,0.64,1.0,0.8,0.8,1.0,0.0,0.72,1.0433806342123353
